round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,model,num_clients,run_id,alpha
6,4,1,train,0.3620118898908039,0.9153783563873068,0.9504706354979964,0.6663954434499593,0.77096985883557,DistilBART,5,20250824_054950,0.1
6,0,1,train,0.5286262515131558,0.8372841673983027,0.8489436928902067,0.6046239391278899,0.6339946158364531,DistilBART,5,20250824_054950,0.1
6,-1,1,validation,0.0818067584335013,0.6074270557029178,0.6996453366928665,0.6074270557029178,0.6046430475486122,DistilBART,5,20250824_054950,0.1
7,0,1,train,0.4798159524102077,0.8498683055311678,0.8509990728948844,0.6546678372841674,0.6910473576140473,DistilBART,5,20250824_054950,0.1
7,3,1,train,0.3813772350734118,0.8982945736434108,0.9134235396457508,0.6071317829457364,0.6834769879027328,DistilBART,5,20250824_054950,0.1
7,1,1,train,0.4420592482719157,0.8629343629343629,0.8814463103921467,0.6845559845559845,0.7278488033073818,DistilBART,5,20250824_054950,0.1
7,2,1,train,0.4113589627700487,0.8864572047670639,0.9156460174163056,0.6933911159263272,0.7219602024217836,DistilBART,5,20250824_054950,0.1
7,4,1,train,0.3390070775209309,0.9210740439381612,0.9536230789535904,0.6265256305939788,0.7390299395200752,DistilBART,5,20250824_054950,0.1
7,-1,1,validation,0.0766675017398611,0.6320954907161803,0.7052099639512633,0.6320954907161803,0.6342411349461403,DistilBART,5,20250824_054950,0.1
8,4,1,train,0.3130185504431848,0.9145646867371848,0.9433369058257708,0.5402766476810414,0.6502156150222443,DistilBART,5,20250824_054950,0.1
8,1,1,train,0.3863352697894529,0.8810810810810811,0.9026918045487204,0.7301158301158301,0.7751601659520899,DistilBART,5,20250824_054950,0.1
8,2,1,train,0.3656105667636262,0.8979414951245936,0.9273723886568412,0.723726977248104,0.7468515550037386,DistilBART,5,20250824_054950,0.1
8,0,1,train,0.4300416985822615,0.8653789874158619,0.890686538705531,0.7085162423178226,0.755551901938756,DistilBART,5,20250824_054950,0.1
8,3,1,train,0.351816208129472,0.902015503875969,0.921349272309846,0.6688372093023256,0.7444788692367844,DistilBART,5,20250824_054950,0.1
8,-1,1,validation,0.0765288071583373,0.6405835543766578,0.7130999391662766,0.6405835543766578,0.6386255572333557,DistilBART,5,20250824_054950,0.1
9,4,1,train,0.3070093385101138,0.9121236777868184,0.9394270218284644,0.7998372660699756,0.8581870224467048,DistilBART,5,20250824_054950,0.1
9,2,1,train,0.3011039811279947,0.9187432286023836,0.9365479224581,0.7417118093174431,0.7671737059100721,DistilBART,5,20250824_054950,0.1
9,1,1,train,0.364071422819922,0.8849420849420849,0.9039889591005028,0.7355212355212355,0.7756851952370236,DistilBART,5,20250824_054950,0.1
