model,num_clients,run_id,alpha,client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19
BART-large,10,20250826_015022,0.1,6.0,1613.0,1.6794487840585324,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,299.0,0.0,2.0,5.0,0.0,529.0,0.0
BART-large,10,20250826_015022,0.1,7.0,611.0,1.4401415554903263,0.0,10.0,0.0,15.0,16.0,0.0,0.0,88.0,0.0,0.0,0.0,29.0,0.0,138.0,0.0,24.0,3.0,287.0,1.0,0.0
BART-large,10,20250826_015022,0.1,8.0,1974.0,1.3519998787957122,0.0,1.0,0.0,272.0,3.0,138.0,580.0,0.0,0.0,24.0,0.0,0.0,741.0,3.0,42.0,15.0,140.0,0.0,3.0,12.0
BART-large,10,20250826_015022,0.1,9.0,718.0,1.7434938247202831,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,347.0,10.0,0.0,0.0,0.0,233.0,0.0,15.0,33.0,78.0
BART-large,10,20250826_225142,0.5,0.0,1187.0,0.6187206121640906,12.0,70.0,79.0,0.0,1.0,84.0,232.0,13.0,129.0,57.0,0.0,1.0,0.0,53.0,177.0,92.0,151.0,9.0,0.0,27.0
BART-large,10,20250826_225142,0.5,1.0,1878.0,0.4780209348049298,39.0,367.0,114.0,16.0,123.0,284.0,6.0,180.0,29.0,142.0,143.0,115.0,85.0,20.0,3.0,2.0,0.0,61.0,119.0,30.0
BART-large,10,20250826_225142,0.5,2.0,1725.0,0.8999066589332888,501.0,1.0,10.0,1.0,352.0,18.0,18.0,3.0,18.0,64.0,5.0,164.0,107.0,137.0,146.0,1.0,129.0,3.0,2.0,45.0
BART-large,10,20250826_225142,0.5,3.0,1687.0,0.6229648901863554,1.0,197.0,255.0,127.0,38.0,199.0,41.0,365.0,85.0,0.0,17.0,144.0,87.0,8.0,3.0,13.0,6.0,1.0,86.0,14.0
BART-large,10,20250826_225142,0.5,4.0,1042.0,0.8381457281123131,3.0,30.0,10.0,1.0,103.0,1.0,1.0,15.0,177.0,10.0,86.0,4.0,4.0,346.0,35.0,49.0,22.0,68.0,1.0,76.0
BART-large,10,20250826_225142,0.5,5.0,1494.0,0.7897474031030653,8.0,4.0,22.0,281.0,32.0,18.0,38.0,64.0,262.0,10.0,0.0,13.0,2.0,63.0,20.0,55.0,208.0,0.0,312.0,82.0
BART-large,10,20250826_225142,0.5,6.0,1844.0,0.9338712932035624,39.0,7.0,29.0,23.0,8.0,161.0,9.0,2.0,20.0,462.0,300.0,58.0,0.0,3.0,33.0,29.0,137.0,505.0,3.0,16.0
BART-large,10,20250826_225142,0.5,7.0,1553.0,0.3584273055115727,18.0,62.0,27.0,81.0,68.0,0.0,17.0,132.0,29.0,35.0,8.0,182.0,253.0,57.0,208.0,149.0,42.0,61.0,43.0,81.0
BART-large,10,20250826_225142,0.5,8.0,1730.0,0.549567029029403,18.0,36.0,133.0,220.0,45.0,3.0,405.0,3.0,38.0,3.0,71.0,33.0,247.0,42.0,62.0,213.0,30.0,20.0,48.0,60.0
BART-large,10,20250826_225142,0.5,9.0,936.0,0.6425484316654415,0.0,4.0,109.0,36.0,0.0,22.0,13.0,15.0,10.0,12.0,169.0,79.0,2.0,63.0,103.0,195.0,3.0,24.0,6.0,71.0
BART-large,2,20250826_041211,0.5,0.0,9171.0,0.1534287773722644,154.0,217.0,788.0,360.0,702.0,601.0,542.0,772.0,55.0,79.0,633.0,426.0,747.0,654.0,674.0,113.0,538.0,319.0,364.0,433.0
BART-large,2,20250826_041211,0.5,1.0,5905.0,0.3299866772271224,485.0,561.0,0.0,426.0,68.0,189.0,238.0,20.0,742.0,716.0,166.0,367.0,40.0,138.0,116.0,685.0,190.0,433.0,256.0,69.0
BART-large,2,20250825_080640,0.1,0.0,10153.0,0.292106649289889,2.0,9.0,788.0,382.0,770.0,786.0,768.0,792.0,0.0,0.0,798.0,471.0,787.0,792.0,790.0,798.0,719.0,245.0,449.0,7.0
BART-large,2,20250825_080640,0.1,1.0,4923.0,0.8927842338214095,637.0,769.0,0.0,404.0,0.0,4.0,12.0,0.0,797.0,795.0,1.0,322.0,0.0,0.0,0.0,0.0,9.0,507.0,171.0,495.0
BART-large,4,20250825_122014,0.1,0.0,3694.0,1.083102632719365,0.0,642.0,0.0,183.0,0.0,662.0,0.0,0.0,1.0,27.0,799.0,1.0,234.0,87.0,2.0,0.0,2.0,3.0,617.0,434.0
BART-large,4,20250825_122014,0.1,1.0,3511.0,1.2228196755903151,0.0,2.0,733.0,0.0,755.0,0.0,0.0,307.0,72.0,100.0,0.0,0.0,0.0,3.0,740.0,798.0,0.0,1.0,0.0,0.0
BART-large,4,20250825_122014,0.1,2.0,4956.0,0.749270473494692,639.0,115.0,55.0,127.0,15.0,78.0,780.0,485.0,589.0,0.0,0.0,792.0,456.0,0.0,26.0,0.0,725.0,20.0,3.0,51.0
BART-large,4,20250825_122014,0.1,3.0,2915.0,1.2118344511494838,0.0,19.0,0.0,476.0,0.0,50.0,0.0,0.0,135.0,668.0,0.0,0.0,97.0,702.0,22.0,0.0,1.0,728.0,0.0,17.0
BART-large,4,20250826_083232,0.5,0.0,2654.0,0.5588344537356869,14.0,308.0,5.0,234.0,4.0,345.0,11.0,102.0,88.0,145.0,672.0,49.0,4.0,261.0,92.0,85.0,92.0,96.0,42.0,5.0
BART-large,4,20250826_083232,0.5,1.0,3860.0,0.5413845499829192,45.0,99.0,529.0,0.0,581.0,20.0,15.0,388.0,194.0,209.0,53.0,1.0,64.0,131.0,386.0,643.0,40.0,184.0,1.0,277.0
BART-large,4,20250826_083232,0.5,2.0,4835.0,0.4318148823723532,579.0,218.0,238.0,206.0,184.0,222.0,715.0,9.0,295.0,1.0,71.0,541.0,47.0,3.0,159.0,19.0,508.0,460.0,324.0,36.0
BART-large,4,20250826_083232,0.5,3.0,3727.0,0.4456644960693621,1.0,153.0,16.0,346.0,1.0,203.0,39.0,293.0,220.0,440.0,3.0,202.0,672.0,397.0,153.0,51.0,88.0,12.0,253.0,184.0
