model,training_type,num_clients,run_id,timestamp,round,client_id,epoch,phase,loss,accuracy,precision,recall,f1_score
BART-Large,Federated,3,20250826_061812,20250826_061812,4,-1,1,validation,0.10988081128753979,0.7286472148541114,0.758352232321404,0.7286472148541114,0.7264982781062441
BART-Large,Federated,3,20250826_061812,20250826_061812,5,0,1,train,0.4873163060492024,0.8458289334741288,0.9038531689371747,0.8996832101372756,0.8974914655616073
BART-Large,Federated,3,20250826_061812,20250826_061812,5,2,1,train,0.6386796272343058,0.7914558740865655,0.8433205918382186,0.8319280494659921,0.8321862757528199
BART-Large,Federated,3,20250826_061812,20250826_061812,5,1,1,train,0.4758013796489745,0.8533173461231015,0.8985369922922748,0.8922861710631494,0.8861889038989862
BART-Large,Federated,3,20250826_061812,20250826_061812,5,-1,1,validation,0.10779922150534921,0.7435013262599469,0.7569754014230891,0.7435013262599469,0.741183587899119
BART-Large,Federated,3,20250826_061812,20250826_061812,6,0,1,train,0.43286195489408047,0.8625131995776135,0.9193836589197121,0.9170010559662091,0.915881194278324
BART-Large,Federated,3,20250826_061812,20250826_061812,6,1,1,train,0.41621082453146435,0.8669064748201439,0.9240457271203476,0.9090727418065547,0.9103482226731184
BART-Large,Federated,3,20250826_061812,20250826_061812,6,2,1,train,0.5528219721759642,0.8195615514333895,0.8935761050663005,0.887952032977328,0.8884555189573047
BART-Large,Federated,3,20250826_061812,20250826_061812,6,-1,1,validation,0.10905965530740923,0.7469496021220159,0.7601482397339799,0.7469496021220159,0.7454523477632464
BART-Large,Federated,3,20250826_061812,20250826_061812,7,2,1,train,0.46669131918450607,0.8472924864155893,0.9182541808079997,0.9149334832302792,0.914310680805208
BART-Large,Federated,3,20250826_061812,20250826_061812,7,0,1,train,0.38007886196322255,0.8853220696937698,0.9274499796818825,0.9227032734952482,0.920423013699252
BART-Large,Federated,3,20250826_061812,20250826_061812,7,1,1,train,0.3816859959111439,0.8826938449240608,0.9076457793026118,0.9012789768185452,0.8964912747967404
BART-Large,Federated,3,20250826_061812,20250826_061812,7,-1,1,validation,0.11062690533885351,0.7442970822281167,0.7607628933289781,0.7442970822281167,0.7426339910280765
BART-Large,Federated,3,20250826_061812,20250826_061812,8,1,1,train,0.33044644108004184,0.8966826538768985,0.9420045692884581,0.9398481215027977,0.9387625227850592
BART-Large,Federated,3,20250826_061812,20250826_061812,8,2,1,train,0.447052114282757,0.8510399100618324,0.9126141596624765,0.9003185310099306,0.9027892951290225
BART-Large,Federated,3,20250826_061812,20250826_061812,8,0,1,train,0.3335737728411914,0.8960929250263991,0.9302723995224895,0.9267159450897571,0.9249346400559209
BART-Large,Federated,3,20250826_061812,20250826_061812,8,-1,1,validation,0.11228772857416648,0.7450928381962865,0.7703748186690759,0.7450928381962865,0.7448248789115306
BART-Large,Federated,3,20250826_061812,20250826_061812,9,1,1,train,0.2820096456365044,0.9122701838529177,0.9413175987056754,0.9356514788169464,0.9352924889488807
BART-Large,Federated,3,20250826_061812,20250826_061812,9,0,1,train,0.3085448606271294,0.902428722280887,0.9536737553292681,0.9518479408658923,0.9513065625579118
BART-Large,Federated,3,20250826_061812,20250826_061812,9,2,1,train,0.3849434566155667,0.8763350196739741,0.9349481342238823,0.9289863219036912,0.9295227675688303
BART-Large,Federated,3,20250826_061812,20250826_061812,9,-1,1,validation,0.11254970514794826,0.7580901856763925,0.7719960271636725,0.7580901856763925,0.7570094924153875
BART-Large,Federated,3,20250826_061812,20250826_061812,10,0,1,train,0.2641489865799903,0.9170010559662091,0.959012578362141,0.9545934530095037,0.9555436353948732
BART-Large,Federated,3,20250826_061812,20250826_061812,10,1,1,train,0.25162849262577686,0.9232613908872902,0.949611282008043,0.9460431654676259,0.9460868376285931
BART-Large,Federated,3,20250826_061812,20250826_061812,10,2,1,train,0.32615418895252307,0.8969458497283118,0.9391335023655253,0.9338579726438074,0.9342405900481768
BART-Large,Federated,3,20250826_061812,20250826_061812,10,-1,1,validation,0.11438795627932873,0.7625994694960212,0.7740605630835293,0.7625994694960212,0.7619872896846062
BART-Large,Federated,3,20250826_061812,20250826_061812,11,1,1,train,0.2318927167339054,0.9288569144684252,0.9394515731652506,0.9320543565147882,0.9323124184705978
